room_name,meter_id
东2舍-109,0311.000489.1
东2舍-110,0311.000490.1
东2舍-111,0311.000491.1
东2舍-112,0311.000492.1
东2舍-113,0311.000493.1
东2舍-114,0311.000494.1
东2舍-115,0311.000495.1
东2舍-116,0311.000496.1
东2舍-201,0311.000497.1
东2舍-202,0311.000498.1
东2舍-203,0311.000499.1
东2舍-204,0311.000500.1
东2舍-205,0311.000501.1
东2舍-206,0311.000502.1
东2舍-207,0311.000503.1
东2舍-208,0311.000504.1
东2舍-209,0311.000505.1
东2舍-210,0311.000506.1
东2舍-211,0311.000507.1
东2舍-212,0311.000508.1
东2舍-213,0311.000509.1
东2舍-214,0311.000510.1
东2舍-215,0311.000511.1
东2舍-办公室,0311.000512.1
东2舍-无名,0311.000513.1
东2舍-301,0311.000514.1
东2舍-302,0311.000515.1
东2舍-303,0311.000516.1
东2舍-304,0311.000517.1
东2舍-305,0311.000518.1
东2舍-306,0311.000519.1
东2舍-307,0311.000520.1
东2舍-308,0311.000521.1
东2舍-309,0311.000522.1
东2舍-310,0311.000523.1
东2舍-311,0311.000524.1
东2舍-312,0311.000525.1
东2舍-313,0311.000526.1
东2舍-314,0311.000527.1
东2舍-315,0311.000528.1
东2舍-316,0311.000529.1
东2舍-317,0311.000530.1
东2舍-401,0311.000531.1
东2舍-402,0311.000532.1
东2舍-403,0311.000533.1
东2舍-404,0311.000534.1
东2舍-405,0311.000535.1
东2舍-406,0311.000536.1
东2舍-407,0311.000537.1
东2舍-408,0311.000538.1
东2舍-409,0311.000539.1
东2舍-410,0311.000540.1
东2舍-411,0311.000541.1
东2舍-412,0311.000542.1
东2舍-413,0311.000543.1
东2舍-414,0311.000544.1
东2舍-415,0311.000545.1
东2舍-416,0311.000546.1
东2舍-417,0311.000547.1
东2舍-501,0311.000548.1
东2舍-502,0311.000549.1
东2舍-503,0311.000550.1
东2舍-504,0311.000551.1
东2舍-505,0311.000552.1
东2舍-506,0311.000553.1
东2舍-507,0311.000554.1
东2舍-508,0311.000555.1
东2舍-509,0311.000556.1
东2舍-510,0311.000557.1
东2舍-511,0311.000558.1
东2舍-512,0311.000559.1
东2舍-513,0311.000560.1
东2舍-514,0311.000561.1
东2舍-515,0311.000562.1
东2舍-516,0311.000563.1
东2舍-517,0311.000564.1
东3舍-101,0311.000565.1
东3舍-102,0311.000566.1
东3舍-103,0311.000567.1
东3舍-104,0311.000568.1
东3舍-105,0311.000569.1
东3舍-106,0311.000570.1
东3舍-107,0311.000571.1
东3舍-108,0311.000572.1
东3舍-109,0311.000573.1
东3舍-110,0311.000574.1
东3舍-111,0311.000575.1
东3舍-112,0311.000576.1
东3舍-113,0311.000577.1
东3舍-114,0311.000578.1
东3舍-115,0311.000579.1
东3舍-116,0311.000580.1
东3舍-201,0311.000581.1
东3舍-202,0311.000582.1
东3舍-203,0311.000583.1
东3舍-204,0311.000584.1
东3舍-205,0311.000585.1
东3舍-206,0311.000586.1
东3舍-207,0311.000587.1
东3舍-208,0311.000588.1
东3舍-209,0311.000589.1
东3舍-210,0311.000590.1
东3舍-211,0311.000591.1
东3舍-212,0311.000592.1
东3舍-213,0311.000593.1
东3舍-214,0311.000594.1
东3舍-215,0311.000595.1
东3舍-216,0311.000596.1
东3舍-217,0311.000597.1
东3舍-301,0311.000598.1
东3舍-302,0311.000599.1
东3舍-303,0311.000600.1
东3舍-304,0311.000601.1
东3舍-305,0311.000602.1
东3舍-306,0311.000603.1
东3舍-307,0311.000604.1
东3舍-308,0311.000605.1
东3舍-309,0311.000606.1
东3舍-310,0311.000607.1
东3舍-311,0311.000608.1
东3舍-312,0311.000609.1
东3舍-313,0311.000610.1
东3舍-314,0311.000611.1
东3舍-315,0311.000612.1
东3舍-316,0311.000613.1
东3舍-317,0311.000614.1
东3舍-401,0311.000615.1
东3舍-402,0311.000616.1
东3舍-403,0311.000617.1
东3舍-404,0311.000618.1
东3舍-405,0311.000619.1
东3舍-406,0311.000620.1
东3舍-407,0311.000621.1
东3舍-408,0311.000622.1
东3舍-409,0311.000623.1
东3舍-410,0311.000624.1
东3舍-411,0311.000625.1
东3舍-412,0311.000626.1
东3舍-413,0311.000627.1
东3舍-414,0311.000628.1
东3舍-415,0311.000629.1
东3舍-416,0311.000630.1
东3舍-417,0311.000631.1
东3舍-501,0311.000632.1
东3舍-502,0311.000633.1
东3舍-503,0311.000634.1
东3舍-504,0311.000635.1
东3舍-505,0311.000636.1
东3舍-506,0311.000637.1
东3舍-507,0311.000638.1
东3舍-508,0311.000639.1
东3舍-509,0311.000640.1
东3舍-510,0311.000641.1
东3舍-511,0311.000642.1
东3舍-512,0311.000643.1
东3舍-513,0311.000644.1
东3舍-514,0311.000645.1
东3舍-515,0311.000646.1
东3舍-516,0311.000647.1
东3舍-517,0311.000648.1
东4舍-101,0311.000649.1
东4舍-102,0311.000650.1
东4舍-103,0311.000651.1
东4舍-104,0311.000652.1
东4舍-105,0311.000653.1
东4舍-106,0311.000654.1
东4舍-107,0311.000655.1
东4舍-108,0311.000656.1
东4舍-201,0311.000657.1
东4舍-202,0311.000658.1
东4舍-203,0311.000659.1
东4舍-204,0311.000660.1
东4舍-205,0311.000661.1
东4舍-206,0311.000662.1
东4舍-207,0311.000663.1
东4舍-208,0311.000664.1
东4舍-209,0311.000665.1
东4舍-210,0311.000666.1
东4舍-211,0311.000667.1
东4舍-212,0311.000668.1
东4舍-213,0311.000669.1
东4舍-214,0311.000670.1
东4舍-215,0311.000671.1
东4舍-216,0311.000672.1
东4舍-217,0311.000673.1
东4舍-301,0311.000674.1
东4舍-302,0311.000675.1
东4舍-303,0311.000676.1
东4舍-304,0311.000677.1
东4舍-305,0311.000678.1
东4舍-306,0311.000679.1
东4舍-307,0311.000680.1
东4舍-308,0311.000681.1
东4舍-309,0311.000682.1
东4舍-310,0311.000683.1
东4舍-311,0311.000684.1
东4舍-312,0311.000685.1
东4舍-313,0311.000686.1
东4舍-314,0311.000687.1
东4舍-315,0311.000688.1
东4舍-316,0311.000689.1
东4舍-317,0311.000690.1
东4舍-401,0311.000691.1
东4舍-402,0311.000692.1
东4舍-403,0311.000693.1
东4舍-404,0311.000694.1
东4舍-405,0311.000695.1
东4舍-406,0311.000696.1
东4舍-407,0311.000697.1
东4舍-408,0311.000698.1
东4舍-409,0311.000699.1
东4舍-410,0311.000700.1
东4舍-411,0311.000701.1
东4舍-412,0311.000702.1
东4舍-413,0311.000703.1
东4舍-414,0311.000704.1
东4舍-415,0311.000705.1
东4舍-416,0311.000706.1
东4舍-417,0311.000707.1
东4舍-501,0311.000708.1
东4舍-502,0311.000709.1
东4舍-503,0311.000710.1
东4舍-504,0311.000711.1
东4舍-505,0311.000712.1
东4舍-506,0311.000713.1
东4舍-507,0311.000714.1
东4舍-508,0311.000715.1
东4舍-509,0311.000716.1
东4舍-510,0311.000717.1
东4舍-511,0311.000718.1
东4舍-512,0311.000719.1
东4舍-513,0311.000720.1
东4舍-514,0311.000721.1
东4舍-515,0311.000722.1
东4舍-516,0311.000723.1
东4舍-517,0311.000724.1
东5舍-101,0311.000725.1
东5舍-102,0311.000726.1
东5舍-103,0311.000727.1
东5舍-104,0311.000728.1
东5舍-105,0311.000729.1
东5舍-106,0311.000730.1
东5舍-107,0311.000731.1
东5舍-108,0311.000732.1
东5舍-109,0311.000733.1
东5舍-110,0311.000734.1
东5舍-111,0311.000735.1
东5舍-112,0311.000736.1
东5舍-113,0311.000737.1
东5舍-114,0311.000738.1
东5舍-201,0311.000739.1
东5舍-202,0311.000740.1
东5舍-203,0311.000741.1
东5舍-204,0311.000742.1
东5舍-205,0311.000743.1
东5舍-206,0311.000744.1
东5舍-207,0311.000745.1
东5舍-208,0311.000746.1
东5舍-209,0311.000747.1
东5舍-210,0311.000748.1
东5舍-211,0311.000749.1
东5舍-212,0311.000750.1
东5舍-213,0311.000751.1
东5舍-214,0311.000752.1
东5舍-215,0311.000753.1
东5舍-216,0311.000754.1
东5舍-217,0311.000755.1
东5舍-301,0311.000756.1
东5舍-302,0311.000757.1
东5舍-303,0311.000758.1
东5舍-304,0311.000759.1
东5舍-305,0311.000760.1
东5舍-306,0311.000761.1
东5舍-307,0311.000762.1
东5舍-308,0311.000763.1
东5舍-309,0311.000764.1
东5舍-310,0311.000765.1
东5舍-311,0311.000766.1
东5舍-312,0311.000767.1
东5舍-313,0311.000768.1
东5舍-314,0311.000769.1
东5舍-315,0311.000770.1
东5舍-316,0311.000771.1
东5舍-317,0311.000772.1
东5舍-401,0311.000773.1
东5舍-402,0311.000774.1
东5舍-403,0311.000775.1
东5舍-404,0311.000776.1
东5舍-405,0311.000777.1
东5舍-406,0311.000778.1
东5舍-407,0311.000779.1
东5舍-408,0311.000780.1
东5舍-409,0311.000781.1
东5舍-410,0311.000782.1
东5舍-411,0311.000783.1
东5舍-412,0311.000784.1
东5舍-413,0311.000785.1
东5舍-414,0311.000786.1
东5舍-415,0311.000787.1
东5舍-416,0311.000788.1
东5舍-417,0311.000789.1
东5舍-501,0311.000790.1
东5舍-502,0311.000791.1
东5舍-503,0311.000792.1
东5舍-504,0311.000793.1
东5舍-505,0311.000794.1
东5舍-506,0311.000795.1
东5舍-507,0311.000796.1
东5舍-508,0311.000797.1
东5舍-509,0311.000798.1
东5舍-510,0311.000799.1
东5舍-511,0311.000800.1
东5舍-512,0311.000801.1
东5舍-513,0311.000802.1
东5舍-514,0311.000803.1
东5舍-515,0311.000804.1
东5舍-516,0311.000805.1
东5舍-517,0311.000806.1
东6舍-101,0311.000807.1
东6舍-102,0311.000808.1
东6舍-103,0311.000809.1
东6舍-104,0311.000810.1
东6舍-105,0311.000811.1
东6舍-106,0311.000812.1
东6舍-107,0311.000813.1
东6舍-108,0311.000814.1
东6舍-109,0311.000815.1
东6舍-110,0311.000816.1
东6舍-111,0311.000817.1
东6舍-112,0311.000818.1
东6舍-113,0311.000819.1
东6舍-114,0311.000820.1
东6舍-115,0311.000821.1
东6舍-116,0311.000822.1
东6舍-201,0311.000823.1
东6舍-202,0311.000824.1
东6舍-203,0311.000825.1
东6舍-204,0311.000826.1
东6舍-205,0311.000827.1
东6舍-206,0311.000828.1
东6舍-207,0311.000829.1
东6舍-208,0311.000830.1
东6舍-209,0311.000831.1
东6舍-210,0311.000832.1
东6舍-211,0311.000833.1
东6舍-212,0311.000834.1
东6舍-213,0311.000835.1
东6舍-214,0311.000836.1
东6舍-215,0311.000837.1
东6舍-216,0311.000838.1
东6舍-217,0311.000839.1
东6舍-301,0311.000840.1
东6舍-302,0311.000841.1
东6舍-303,0311.000842.1
东6舍-304,0311.000843.1
东6舍-305,0311.000844.1
东6舍-306,0311.000845.1
东6舍-307,0311.000846.1
东6舍-308,0311.000847.1
东6舍-309,0311.000848.1
东6舍-310,0311.000849.1
东6舍-311,0311.000850.1
东6舍-312,0311.000851.1
东6舍-313,0311.000852.1
东6舍-314,0311.000853.1
东6舍-315,0311.000854.1
东6舍-316,0311.000855.1
东6舍-317,0311.000856.1
东6舍-401,0311.000857.1
东6舍-402,0311.000858.1
东6舍-403,0311.000859.1
东6舍-404,0311.000860.1
东6舍-405,0311.000861.1
东6舍-406,0311.000862.1
东6舍-407,0311.000863.1
东6舍-408,0311.000864.1
东6舍-409,0311.000865.1
东6舍-410,0311.000866.1
东6舍-411,0311.000867.1
东6舍-412,0311.000868.1
东6舍-413,0311.000869.1
东6舍-414,0311.000870.1
东6舍-415,0311.000871.1
东6舍-416,0311.000872.1
东6舍-417,0311.000873.1
东6舍-501,0311.000874.1
东6舍-502,0311.000875.1
东6舍-503,0311.000876.1
东6舍-504,0311.000877.1
东6舍-505,0311.000878.1
东6舍-506,0311.000879.1
东6舍-507,0311.000880.1
东6舍-508,0311.000881.1
东6舍-509,0311.000882.1
东6舍-510,0311.000883.1
东6舍-511,0311.000884.1
东6舍-512,0311.000885.1
东6舍-513,0311.000886.1
东6舍-514,0311.000887.1
东6舍-515,0311.000888.1
东6舍-516,0311.000889.1
东6舍-517,0311.000890.1
东6舍-601,0311.000891.1
东7舍-101,0311.000892.1
东7舍-102,0311.000893.1
东7舍-103,0311.000894.1
东7舍-104,0311.000895.1
东7舍-105,0311.000896.1
东7舍-106,0311.000897.1
东7舍-107,0311.000898.1
东7舍-108,0311.000899.1
东7舍-109,0311.000900.1
东7舍-110,0311.000901.1
东7舍-111,0311.000902.1
东7舍-112,0311.000903.1
东7舍-113,0311.000904.1
东7舍-114,0311.000905.1
东7舍-115,0311.000906.1
东7舍-116,0311.000907.1
东7舍-117,0311.000908.1
东7舍-120,0311.000909.1
东7舍-121,0311.000910.1
东7舍-122,0311.000911.1
东7舍-123,0311.000912.1
东7舍-124,0311.000913.1
东7舍-125,0311.000914.1
东7舍-126,0311.000915.1
东7舍-127,0311.000916.1
东7舍-128,0311.000917.1
东7舍-洗衣房,0311.000918.1
东7舍-值班室,0311.000919.1
东7舍-201,0311.000920.1
东7舍-202,0311.000921.1
东7舍-203,0311.000922.1
东7舍-204,0311.000923.1
东7舍-205,0311.000924.1
东7舍-206,0311.000925.1
东7舍-207,0311.000926.1
东7舍-208,0311.000927.1
东7舍-209,0311.000928.1
东7舍-210,0311.000929.1
东7舍-211,0311.000930.1
东7舍-212,0311.000931.1
东7舍-213,0311.000932.1
东7舍-214,0311.000933.1
东7舍-215,0311.000934.1
东7舍-216,0311.000935.1
东7舍-217,0311.000936.1
东7舍-218,0311.000937.1
东7舍-219,0311.000938.1
东7舍-220,0311.000939.1
东7舍-221,0311.000940.1
东7舍-222,0311.000941.1
东7舍-223,0311.000942.1
东7舍-224,0311.000943.1
东7舍-225,0311.000944.1
东7舍-226,0311.000945.1
东7舍-227,0311.000946.1
东7舍-228,0311.000947.1
东7舍-229,0311.000948.1
东7舍-301,0311.000949.1
东7舍-302,0311.000950.1
东7舍-303,0311.000951.1
东7舍-304,0311.000952.1
东7舍-305,0311.000953.1
东7舍-306,0311.000954.1
东7舍-307,0311.000955.1
东7舍-308,0311.000956.1
东7舍-309,0311.000957.1
东7舍-310,0311.000958.1
东7舍-311,0311.000959.1
东7舍-312,0311.000960.1
东7舍-313,0311.000961.1
东7舍-314,0311.000962.1
东7舍-315,0311.000963.1
东7舍-316,0311.000964.1
东7舍-317,0311.000965.1
东7舍-318,0311.000966.1
东7舍-319,0311.000967.1
东7舍-320,0311.000968.1
东7舍-321,0311.000969.1
东7舍-322,0311.000970.1
东7舍-323,0311.000971.1
东7舍-324,0311.000972.1
东7舍-325,0311.000973.1
东7舍-326,0311.000974.1
东7舍-327,0311.000975.1
东7舍-328,0311.000976.1
东7舍-329,0311.000977.1
东7舍-401,0311.000978.1
东7舍-402,0311.000979.1
东7舍-403,0311.000980.1
东7舍-404,0311.000981.1
东7舍-405,0311.000982.1
东7舍-406,0311.000983.1
东7舍-407,0311.000984.1
东7舍-408,0311.000985.1
东7舍-409,0311.000986.1
东7舍-410,0311.000987.1
东7舍-411,0311.000988.1
东7舍-412,0311.000989.1
东7舍-413,0311.000990.1
东7舍-414,0311.000991.1
东7舍-415,0311.000992.1
东7舍-416,0311.000993.1
东7舍-417,0311.000994.1
东7舍-418,0311.000995.1
东7舍-419,0311.000996.1
东7舍-420,0311.000997.1
东7舍-421,0311.000998.1
东7舍-422,0311.000999.1
东7舍-423,0311.001000.1
东7舍-424,0311.001001.1
东7舍-425,0311.001002.1
东7舍-426,0311.001003.1
东7舍-427,0311.001004.1
东7舍-428,0311.001005.1
东7舍-429,0311.001006.1
东7舍-501,0311.001007.1
东7舍-502,0311.001008.1
东7舍-503,0311.001009.1
东7舍-504,0311.001010.1
东7舍-505,0311.001011.1
东7舍-506,0311.001012.1
东7舍-507,0311.001013.1
东7舍-508,0311.001014.1
东7舍-509,0311.001015.1
东7舍-510,0311.001016.1
东7舍-511,0311.001017.1
东7舍-512,0311.001018.1
东7舍-513,0311.001019.1
东7舍-514,0311.001020.1
东7舍-515,0311.001021.1
东7舍-516,0311.001022.1
东7舍-517,0311.001023.1
东7舍-518,0311.001024.1
东7舍-519,0311.001025.1
东7舍-520,0311.001026.1
东7舍-521,0311.001027.1
东7舍-522,0311.001028.1
东7舍-523,0311.001029.1
东7舍-524,0311.001030.1
东7舍-525,0311.001031.1
东7舍-526,0311.001032.1
东7舍-527,0311.001033.1
东7舍-528,0311.001034.1
东7舍-529,0311.001035.1
东7舍-601,0311.001036.1
东7舍-602,0311.001037.1
东7舍-603,0311.001038.1
东7舍-604,0311.001039.1
东7舍-605,0311.001040.1
东7舍-606,0311.001041.1
东7舍-607,0311.001042.1
东7舍-608,0311.001043.1
东7舍-609,0311.001044.1
东7舍-610,0311.001045.1
东7舍-611,0311.001046.1
东7舍-612,0311.001047.1
东7舍-613,0311.001048.1
东7舍-614,0311.001049.1
东7舍-615,0311.001050.1
东7舍-616,0311.001051.1
东7舍-617,0311.001052.1
东7舍-618,0311.001053.1
东7舍-619,0311.001054.1
东7舍-620,0311.001055.1
东7舍-621,0311.001056.1
东7舍-622,0311.001057.1
东7舍-623,0311.001058.1
东7舍-624,0311.001059.1
东7舍-625,0311.001060.1
东7舍-626,0311.001061.1
东7舍-627,0311.001062.1
东7舍-628,0311.001063.1
东7舍-629,0311.001064.1
东7舍-701,0311.001065.1
东7舍-702,0311.001066.1
东7舍-703,0311.001067.1
东7舍-704,0311.001068.1
东7舍-705,0311.001069.1
东7舍-706,0311.001070.1
东7舍-707,0311.001071.1
东7舍-708,0311.001072.1
东7舍-709,0311.001073.1
东7舍-710,0311.001074.1
东7舍-711,0311.001075.1
东7舍-712,0311.001076.1
东7舍-713,0311.001077.1
东7舍-714,0311.001078.1
东7舍-715,0311.001079.1
东7舍-716,0311.001080.1
东7舍-717,0311.001081.1
东7舍-718,0311.001082.1
东7舍-719,0311.001083.1
东7舍-720,0311.001084.1
东7舍-721,0311.001085.1
东7舍-722,0311.001086.1
东7舍-723,0311.001087.1
东7舍-724,0311.001088.1
东7舍-725,0311.001089.1
东7舍-726,0311.001090.1
东7舍-727,0311.001091.1
东7舍-728,0311.001092.1
东7舍-729,0311.001093.1
东8舍-101,0311.001094.1
东8舍-102,0311.001095.1
东8舍-103,0311.001096.1
东8舍-104,0311.001097.1
东8舍-105,0311.001098.1
东8舍-106,0311.001099.1
东8舍-107,0311.001100.1
东8舍-108,0311.001101.1
东8舍-109,0311.001102.1
东8舍-110,0311.001103.1
东8舍-111,0311.001104.1
东8舍-112,0311.001105.1
东8舍-113,0311.001106.1
东8舍-114,0311.001107.1
东8舍-115,0311.001108.1
东8舍-116,0311.001109.1
东8舍-117,0311.001110.1
东8舍-118,0311.001111.1
东8舍-119,0311.001112.1
东8舍-120,0311.001113.1
东8舍-121,0311.001114.1
东8舍-201,0311.001115.1
东8舍-202,0311.001116.1
东8舍-203,0311.001117.1
东8舍-204,0311.001118.1
东8舍-205,0311.001119.1
东8舍-206,0311.001120.1
东8舍-207,0311.001121.1
东8舍-208,0311.001122.1
东8舍-209,0311.001123.1
东8舍-210,0311.001124.1
东8舍-211,0311.001125.1
东8舍-212,0311.001126.1
东8舍-213,0311.001127.1
东8舍-214,0311.001128.1
东8舍-215,0311.001129.1
东8舍-216,0311.001130.1
东8舍-217,0311.001131.1
东8舍-218,0311.001132.1
东8舍-219,0311.001133.1
东8舍-220,0311.001134.1
东8舍-221,0311.001135.1
东8舍-222,0311.001136.1
东8舍-223,0311.001137.1
东8舍-224,0311.001138.1
东8舍-225,0311.001139.1
东8舍-301,0311.001140.1
东8舍-302,0311.001141.1
东8舍-303,0311.001142.1
东8舍-304,0311.001143.1
东8舍-305,0311.001144.1
东8舍-306,0311.001145.1
东8舍-307,0311.001146.1
东8舍-308,0311.001147.1
东8舍-309,0311.001148.1
东8舍-310,0311.001149.1
东8舍-311,0311.001150.1
东8舍-312,0311.001151.1
东8舍-313,0311.001152.1
东8舍-314,0311.001153.1
东8舍-315,0311.001154.1
东8舍-316,0311.001155.1
东8舍-317,0311.001156.1
东8舍-318,0311.001157.1
东8舍-319,0311.001158.1
东8舍-320,0311.001159.1
东8舍-321,0311.001160.1
东8舍-322,0311.001161.1
东8舍-323,0311.001162.1
东8舍-324,0311.001163.1
东8舍-325,0311.001164.1
东8舍-401,0311.001165.1
东8舍-402,0311.001166.1
东8舍-403,0311.001167.1
东8舍-404,0311.001168.1
东8舍-405,0311.001169.1
东8舍-406,0311.001170.1
东8舍-407,0311.001171.1
东8舍-408,0311.001172.1
东8舍-409,0311.001173.1
东8舍-410,0311.001174.1
东8舍-411,0311.001175.1
东8舍-412,0311.001176.1
东8舍-413,0311.001177.1
东8舍-414,0311.001178.1
东8舍-415,0311.001179.1
东8舍-416,0311.001180.1
东8舍-417,0311.001181.1
东8舍-418,0311.001182.1
东8舍-419,0311.001183.1
东8舍-420,0311.001184.1
东8舍-421,0311.001185.1
东8舍-422,0311.001186.1
东8舍-423,0311.001187.1
东8舍-424,0311.001188.1
东8舍-425,0311.001189.1
东8舍-501,0311.001190.1
东8舍-502,0311.001191.1
东8舍-503,0311.001192.1
东8舍-504,0311.001193.1
东8舍-505,0311.001194.1
东8舍-506,0311.001195.1
东8舍-507,0311.001196.1
东8舍-508,0311.001197.1
东8舍-509,0311.001198.1
东8舍-510,0311.001199.1
东8舍-511,0311.001200.1
东8舍-512,0311.001201.1
东8舍-513,0311.001202.1
东8舍-514,0311.001203.1
东8舍-515,0311.001204.1
东8舍-516,0311.001205.1
东8舍-517,0311.001206.1
东8舍-518,0311.001207.1
东8舍-519,0311.001208.1
东8舍-520,0311.001209.1
东8舍-521,0311.001210.1
东8舍-522,0311.001211.1
东8舍-523,0311.001212.1
东8舍-524,0311.001213.1
东8舍-525,0311.001214.1
东8舍-601,0311.001215.1
东8舍-602,0311.001216.1
东8舍-603,0311.001217.1
东8舍-604,0311.001218.1
东8舍-605,0311.001219.1
东8舍-606,0311.001220.1
东8舍-607,0311.001221.1
东8舍-608,0311.001222.1
东8舍-609,0311.001223.1
东8舍-610,0311.001224.1
东8舍-611,0311.001225.1
东8舍-612,0311.001226.1
东8舍-613,0311.001227.1
东8舍-614,0311.001228.1
东8舍-615,0311.001229.1
东8舍-616,0311.001230.1
东8舍-617,0311.001231.1
东8舍-618,0311.001232.1
东8舍-619,0311.001233.1
东8舍-620,0311.001234.1
东8舍-621,0311.001235.1
东8舍-622,0311.001236.1
东8舍-623,0311.001237.1
东8舍-624,0311.001238.1
东8舍-625,0311.001239.1
东8舍-701,0311.001240.1
东8舍-702,0311.001241.1
东8舍-703,0311.001242.1
东8舍-704,0311.001243.1
东8舍-705,0311.001244.1
东8舍-706,0311.001245.1
东8舍-707,0311.001246.1
东8舍-708,0311.001247.1
东8舍-709,0311.001248.1
东8舍-710,0311.001249.1
东8舍-711,0311.001250.1
东8舍-712,0311.001251.1
东8舍-713,0311.001252.1
东8舍-714,0311.001253.1
东8舍-715,0311.001254.1
东8舍-716,0311.001255.1
东8舍-717,0311.001256.1
东8舍-718,0311.001257.1
东8舍-719,0311.001258.1
东8舍-720,0311.001259.1
东8舍-721,0311.001260.1
东8舍-722,0311.001261.1
东8舍-723,0311.001262.1
东8舍-724,0311.001263.1
东8舍-725,0311.001264.1
东9舍-101,0311.001265.1
东9舍-102,0311.001266.1
东9舍-103,0311.001267.1
东9舍-104,0311.001268.1
东9舍-105,0311.001269.1
东9舍-106,0311.001270.1
东9舍-107,0311.001271.1
东9舍-108,0311.001272.1
东9舍-109,0311.001273.1
东9舍-110,0311.001274.1
东9舍-111,0311.001275.1
东9舍-112,0311.001276.1
东9舍-113,0311.001277.1
东9舍-114,0311.001278.1
东9舍-115,0311.001279.1
东9舍-116,0311.001280.1
东9舍-117,0311.001281.1
东9舍-118,0311.001282.1
东9舍-119,0311.001283.1
东9舍-120,0311.001284.1
东9舍-121,0311.001285.1
东9舍-122,0311.001286.1
东9舍-123,0311.001287.1
东9舍-124,0311.001288.1
东9舍-125,0311.001289.1
东9舍-126,0311.001290.1
东9舍-127,0311.001291.1
东9舍-128,0311.001292.1
东9舍-129,0311.001293.1
东9舍-130,0311.001294.1
东9舍-131,0311.001295.1
东9舍-132,0311.001296.1
东9舍-133,0311.001297.1
东9舍-134,0311.001298.1
东9舍-135,0311.001299.1
东9舍-136,0311.001300.1
东9舍-137,0311.001301.1
东9舍-138,0311.001302.1
东9舍-139,0311.001303.1
东9舍-140,0311.001304.1
东9舍-141,0311.001305.1
东9舍-142,0311.001306.1
东9舍-143,0311.001307.1
东9舍-门卫,0311.001308.1
东9舍-配电房,0311.001309.1
东9舍-值班室,0311.001310.1
东9舍-201,0311.001311.1
东9舍-202,0311.001312.1
东9舍-203,0311.001313.1
东9舍-204,0311.001314.1
东9舍-205,0311.001315.1
东9舍-206,0311.001316.1
东9舍-207,0311.001317.1
东9舍-208,0311.001318.1
东9舍-209,0311.001319.1
东9舍-210,0311.001320.1
东9舍-211,0311.001321.1
东9舍-212,0311.001322.1
东9舍-213,0311.001323.1
东9舍-214,0311.001324.1
东9舍-215,0311.001325.1
东9舍-216,0311.001326.1
东9舍-217,0311.001327.1
